1755339269, 20m, 14076366, FT8, M1DBW, IO91CO, 223, Tx, SP6IXO, JO81QG, 269, -16
1755339404, 20m, 14074307, FT8, G3WGC, JO02KT, 223, Tx, SP6IXO, JO81QG, 269, -22
1755339447, 20m, 14074847, FT8, 2E0KCU, IO91KF, 223, Tx, OH8AAU, KP23JR, 224, -13
1755339447, 20m, 14074877, FT8, G8IXM, JO02PP29, 223, Tx, OH8AAU, KP23JR, 224, -17
1755339432, 20m, 14074231, FT8, M0MLS, IO92AN, 223, Tx, W3TI, FN20AT30DM, 291, -17
1755339271, 20m, 14074231, FT8, M0MLS, IO92AN, 223, Tx, OM1ACK, JN88MD, 504, -17
1755339271, 20m, 14074459, FT8, G8KHF, IO92KG, 223, Tx, OM1ACK, JN88MD, 504, -12
1755339271, 20m, 14074303, FT8, G3WGC, JO02KT, 223, Tx, OM1ACK, JN88MD, 504, -24
1755339285, 20m, 14076362, FT8, M1DBW, IO91CO, 223, Tx, OM1ACK, JN88MD, 504, -2
1755339285, 20m, 14075040, FT8, M5MOW, IO91VT55LM, 223, Tx, OM1ACK, JN88MD, 504, 0
1755339285, 20m, 14074969, FT8, GB2SL, JO03BN, 223, Tx, OM1ACK, JN88MD, 504, -15
1755339420, 20m, 14074220, FT8, M0MLS, IO92AN, 223, Tx, SM1HEV-1, JO97BM, 284, -8
1755339224, 20m, 14075358, FT8, M0SLI, JO02, 223, Tx, YO5PSE, KN07XB18, 275, -18
1755339284, 20m, 14074470, FT8, G8KHF, IO92KG, 223, Tx, YO5PSE, KN07XB18, 275, -17
1755339419, 20m, 14074886, FT8, G8IXM, JO02PP29, 223, Tx, YO5PSE, KN07XB18, 275, -19
1755339212, 20m, 14074953, FT8, M0LOW, IO90KT06, 223, Tx, EA4GWT, IN80HJ, 281, -16
1755339416, 20m, 14074845, FT8, 2E0KCU, IO91KF, 223, Tx, IU8PLP, JN70HV, 248, -4
1755339435, 20m, 14074230, FT8, M0MLS, IO92AN, 223, Tx, CU3HY, HM68JP, 149, -15
1755339462, 20m, 14074227, FT8, M0MLS, IO92AN, 223, Tx, SQ9ANB, JO90VD, 269, -9
1755339418, 20m, 14074871, FT8, G8IXM, JO02PP29, 223, Tx, VA2KS, FN35EO, 1, -14
1755339330, 20m, 14075737, FT8, G6GXH, IO81, 223, Tx, OM1ACK, JN88MD, 504, -21
1755339405, 20m, 14074845, FT8, 2E0KCU, IO91KF, 223, Tx, OM1ACK, JN88MD, 504, -9
1755339405, 20m, 14075015, FT8, M5MOW, IO91VT55LM, 223, Tx, IK4PKL, JN64GB61, 248, -13
1755339402, 20m, 14074312, FT8, G3WGC, JO02KT, 223, Tx, DL1UDO, JO31OR, 230, -18
1755339432, 20m, 14074222, FT8, M0MLS, IO92AN, 223, Tx, SP2HHX, JO94HI55, 269, -1
