1755339417, 20m, 14075460, FT8, G0TAI, IO92PB, 223, Rx, F4MMF, JN36EW, 227, -13
1755339417, 20m, 14076539, FT8, G0TAI, IO92PB, 223, Rx, DG2MFB, JN49JB, 230, -13
1755339390, 20m, 14075238, FT8, GX0FRE, IO82UC, 223, Rx, 9A6T, JN75XS, 497, 9
1755339390, 20m, 14076205, FT8, GX0FRE, IO82UC, 223, Rx, OH5UY, KP20, 224, -9
1755339390, 20m, 14074965, FT8, GX0FRE, IO82UC, 223, Rx, SP.M7TEI, JO74, 269, -16
1755339390, 20m, 14076376, FT8, GX0FRE, IO82UC, 223, Rx, UW8SM, KN28IV27HA, 288, -16
1755339390, 20m, 14075621, FT8, GX0FRE, IO82UC, 223, Rx, EH7PAZ, IN92TD, 281, -13
1755339121, 20m, 14076075, FT8, G7ELK, IO90JV, 223, Rx, R2SAF, KO94VL63, 54, -8
1755339136, 20m, 14076209, FT8, G7ELK, IO90JV, 223, Rx, SP9JCN, JO90LI15, 269, -13
1755339136, 20m, 14074853, FT8, G7ELK, IO90JV, 223, Rx, M0LOW, IO90KT06, 223, -16
1755339150, 20m, 14075388, FT8, G7ELK, IO90JV, 223, Rx, SP6SOZ, JO80US22, 269, -9
1755339166, 20m, 14074753, FT8, G7ELK, IO90JV, 223, Rx, DL6ZOG, JO52LM, 230, -11
1755339210, 20m, 14074953, FT8, G7ELK, IO90JV, 223, Rx, OE6TNO, JN77RC, 206, -6
1755339226, 20m, 14075188, FT8, G7ELK, IO90JV, 223, Rx, SM6KKX, JO67DB, 284, -9
1755339241, 20m, 14074925, FT8, G7ELK, IO90JV, 223, Rx, UA3XFP, KO84DM, 54, -11
1755339256, 20m, 14076294, FT8, G7ELK, IO90JV, 223, Rx, DL0GEO, JO33RH, 230, -6
1755339256, 20m, 14074997, FT8, G7ELK, IO90JV, 223, Rx, OK2JUA, JN89PR43, 503, -9
1755339270, 20m, 14075950, FT8, G7ELK, IO90JV, 223, Rx, RN1CW, KO59LM, 54, -6
1755339270, 20m, 14074838, FT8, G7ELK, IO90JV, 223, Rx, OK1VPY, JO70GI09, 503, -12
1755339301, 20m, 14075384, FT8, G7ELK, IO90JV, 223, Rx, IV3CTT, JN65ST, 248, -7
1755339301, 20m, 14075238, FT8, G7ELK, IO90JV, 223, Rx, IW2HHL, JN46OA, 248, -11
1755339316, 20m, 14075744, FT8, G7ELK, IO90JV, 223, Rx, SP7QJF, KO10FQ09, 269, -9
1755339316, 20m, 14074691, FT8, G7ELK, IO90JV, 223, Rx, LA2HFA, JO59LL, 266, -11
1755339345, 20m, 14075234, FT8, G7ELK, IO90JV, 223, Rx, 9A5E, JN75UV, 497, -10
1755339345, 20m, 14076569, FT8, G7ELK, IO90JV, 223, Rx, UA6HGM, LN14LC14, 54, -12
1755339345, 20m, 14075813, FT8, G7ELK, IO90JV, 223, Rx, RU3FA, KO84RV16, 54, -15
1755339361, 20m, 14076278, FT8, G7ELK, IO90JV, 223, Rx, R2FDU, JO94WP55, 126, -9
1755339361, 20m, 14075556, FT8, G7ELK, IO90JV, 223, Rx, YU7AS, KN05LM, 296, -10
1755339361, 20m, 14074300, FT8, G7ELK, IO90JV, 223, Rx, EA7CN.P, IM67RI51, 281, -13
1755339391, 20m, 14075878, FT8, G7ELK, IO90JV, 223, Rx, OH5UY, KP20, 224, -11
1755339406, 20m, 14076791, FT8, G7ELK, IO90JV, 223, Rx, DL1HQN, JO61BJ, 230, -11
1755339134, 20m, 14076078, FT8, 2W0XGN, IO82NW, 294, Rx, R2SAF, KO94VL63, 54, -17
