1755282839, 2m, 144175075, FT8, G8SEI, IO92FO, 223, Rx, G0GXT, IO82RL, 223, 0
1755282836, 2m, 144175469, FT8, G0BIX, JO01GI, 223, Rx, G0GXT, IO82RL, 223, -14
1755282836, 2m, 144175206, FT8, G1OJS, IO90JU, 223, Rx, G0GXT, IO82RL, 223, -3
1755282851, 2m, 144175367, FT8, G1OJS, IO90JU, 223, Rx, G7GXK, IO90IS, 223, 27
1755282838, 2m, 144175248, FT8, G8FJG, JO01CM43, 223, Rx, G0GXT, IO82RL, 223, -14
1755282806, 2m, 144174112, FT8, GW4WVO, IO81IL, 294, Rx, G0GXT, IO82RL, 223, -14
1755282836, 2m, 144175225, FT8, G6XRK, IO91RN, 223, Rx, G0GXT, IO82RL, 223, 0
1755282836, 2m, 144175175, FT8, M7FWJ, IO92GM, 223, Rx, G0GXT, IO82RL, 223, 8
1755282836, 2m, 144175172, FT8, M0CRX, IO91KF, 223, Rx, 2E0IHV, IO91FM, 223, -16
1755282836, 2m, 144175295, FT8, M0CRX, IO91KF, 223, Rx, G0GXT, IO82RL, 223, -12
1755282851, 2m, 144175454, FT8, M0CRX, IO91KF, 223, Rx, G7GXK, IO90IS, 223, -15
1755282836, 2m, 144175549, FT8, G7GXK, IO90IS, 223, Rx, 2E0IHV, IO91FM, 223, -12
1755282836, 2m, 144175658, FT8, G7GXK, IO90IS, 223, Rx, G0GXT, IO82RL, 223, -9
1755282851, 2m, 144175583, FT8, 2E0IHV, IO91FM, 223, Rx, G7GXK, IO90IS, 223, -17
1755282779, 2m, 144175625, FT8, G4RRA, IO80BS81, 223, Rx, G8EEM, IO93MX, 223, -8
1755282811, 2m, 144174654, FT8, G4RRA, IO80BS81, 223, Rx, G0GXT, IO82RL, 223, -7
1755282881, 2m, 144174427, FT8, G0JDL, JO02SI84, 223, Rx, G6DDN, IO93BS, 223, -20
1755282837, 2m, 144175053, FT8, M0CYP, IO82SQ, 223, Rx, G0GXT, IO82RL, 223, 3
1755282825, 2m, 144175013, FT8, M0AAA, IO91NL, 223, Rx, 2E0IHV, IO91FM, 223, -6
1755282825, 2m, 144175135, FT8, M0AAA, IO91NL, 223, Rx, G0GXT, IO82RL, 223, -6
1755282840, 2m, 144175295, FT8, M0AAA, IO91NL, 223, Rx, G7GXK, IO90IS, 223, -13
1755282720, 2m, 144175625, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, PA0KJK, JO22JL, 263, -24
1755282735, 2m, 144175095, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, F6ASP, JO00WW, 227, -9
1755282825, 2m, 144175041, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G0GXT, IO82RL, 223, -1
1755282840, 2m, 144175199, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G7GXK, IO90IS, 223, -12
1755283061, 2m, 144175737, FT8, G4DCV, IO91OF, 223, Rx, PD1CMP, JO21NT10, 263, -11
1755282854, 2m, 144175821, FT8, G0OFE, IO90BR, 223, Rx, G7GXK, IO90IS, 223, 0
1755283061, 2m, 144175735, FT8, G4SWX, JO02RF, 223, Rx, PD1CMP, JO21NT10, 263, 24
1755283091, 2m, 144175705, FT8, G0GXT, IO82RL, 223, Rx, PD1CMP, JO21NT10, 263, -8
1755282838, 2m, 144175269, FT8, G4PIQ, JO02OD, 223, Rx, G0GXT, IO82RL, 223, -7
1755283049, 2m, 144175483, FT8, G4PIQ, JO02OD, 223, Rx, PA3DZM, JO21MN57, 263, -16
1755283063, 2m, 144175858, FT8, G4PIQ, JO02OD, 223, Rx, PD1CMP, JO21NT10, 263, 5
1755283078, 2m, 144175813, FT8, G4PIQ, JO02OD, 223, Rx, F6ASP, JO00WW, 227, -15
1755282836, 2m, 144174140, FT8, G8DGR, IO91JJ, 223, Rx, G0GXT, IO82RL, 223, -11
1755282929, 2m, 144174374, FT8, G8DGR, IO91JJ, 223, Rx, F6ASP, JO00WW, 227, -19
1755283061, 2m, 144174613, FT8, G8DGR, IO91JJ, 223, Rx, PD1CMP, JO21NT10, 263, -8
1755283139, 2m, 144176121, FT8, M0MST, IO82XB, 223, Rx, G8SEI, IO92FO, 223, -9
1755282825, 2m, 144175553, FT8, G0CUZ-2, IO82WM, 223, Rx, G0GXT, IO82RL, 223, 11
1755283094, 2m, 144175734, FT8, G4CCC, IO91ML14, 223, Rx, PD1CMP, JO21NT10, 263, -19
1755283136, 2m, 144175696, FT8, G4CCC, IO91ML14, 223, Rx, F6ASP, JO00WW, 227, -16
1755282870, 2m, 144175057, FT8, G0KTN, IO81TI, 223, Rx, G0GXT, IO82RL, 223, -17
1755283061, 2m, 144175738, FT8, G0JDL, JO02SI84, 223, Rx, PD1CMP, JO21NT10, 263, 13
1755283061, 2m, 144175789, FT8, G4LPP, JO02SS, 223, Rx, PD1CMP, JO21NT10, 263, 17
1755283061, 2m, 144175822, FT8, G0JCC, IO82MA21, 223, Rx, PD1CMP, JO21NT10, 263, -5
1755283166, 2m, 144175554, FT8, G0JCC, IO82MA21, 223, Rx, G8SEI, IO92FO, 223, -11
1755283166, 2m, 144175714, FT8, G8IXK, IO91SV, 223, Rx, G8SEI, IO92FO, 223, -5
1755283061, 2m, 144175669, FT8, M0BAA, JO01NC, 223, Rx, PD1CMP, JO21NT10, 263, 16
1755283136, 2m, 144175417, FT8, M0BAA, JO01NC, 223, Rx, PD7JV, JO21EW, 263, -15
1755283137, 2m, 144174974, FT8, G4SWX, JO02RF, 223, Rx, G0VXM, IO93IR61, 223, -15
1755283139, 2m, 144175688, FT8, G4SWX, JO02RF, 223, Rx, G8SEI, IO92FO, 223, 8
1755283167, 2m, 144175651, FT8, G0LRD, JO02AC, 223, Rx, G8SEI, IO92FO, 223, -4
1755283182, 2m, 144175727, FT8, G0LRD, JO02AC, 223, Rx, PD1CMP, JO21NT10, 263, -17
1755283136, 2m, 144175287, FT8, G4KPZ, IO92WK, 223, Rx, G0VXM, IO93IR61, 223, -8
1755283139, 2m, 144176085, FT8, G4KPZ, IO92WK, 223, Rx, G8SEI, IO92FO, 223, -11
1755283196, 2m, 144175494, FT8, G0JDL, JO02SI84, 223, Rx, PD7JV, JO21EW, 263, -6
1755283211, 2m, 144176121, FT8, G0JDL, JO02SI84, 223, Rx, PD0MJC, JO32BG94, 263, -19
1755283063, 2m, 144175738, FT8, G8FJG, JO01CM43, 223, Rx, PD1CMP, JO21NT10, 263, -8
1755283168, 2m, 144175692, FT8, G8FJG, JO01CM43, 223, Rx, F6ASP, JO00WW, 227, -15
1755283213, 2m, 144175179, FT8, G8FJG, JO01CM43, 223, Rx, PC5T, JO22HJ67, 263, -18
1755283197, 2m, 144175492, FT8, G4SWX, JO02RF, 223, Rx, PD7JV, JO21EW, 263, -10
1755283227, 2m, 144174764, FT8, G4SWX, JO02RF, 223, Rx, ON5AEG, JO20MJ, 209, -10
1755283211, 2m, 144176173, FT8, G4LPP, JO02SS, 223, Rx, PD0MJC, JO32BG94, 263, 0
1755283244, 2m, 144175745, FT8, G4LPP, JO02SS, 223, Rx, PA1CTW, JO32HJ, 263, 9
1755283050, 2m, 144174438, FT8, G4RRA, IO80BS81, 223, Rx, G0VXM, IO93IR61, 223, -21
1755283064, 2m, 144175303, FT8, G4RRA, IO80BS81, 223, Rx, PD1CMP, JO21NT10, 263, -14
1755283169, 2m, 144175054, FT8, G4RRA, IO80BS81, 223, Rx, G8SEI, IO92FO, 223, -13
1755283226, 2m, 144174696, FT8, M0BAA, JO01NC, 223, Rx, ON5AEG, JO20MJ, 209, -17
1755283271, 2m, 144175892, FT8, M0BAA, JO01NC, 223, Rx, DH3FBI, JN49NX, 230, -16
1755283244, 2m, 144175693, FT8, G0JDL, JO02SI84, 223, Rx, PA1CTW, JO32HJ, 263, -8
