2025-08-15_19:33:56, 2m, 144175146, FT8, G4DCV, IO91OF, 223, Rx, G0GXT, IO82RL, 223, -3
2025-08-15_19:32:41, 2m, 144175890, FT8, G4LPP, JO02SS, 223, Rx, PC5T, JO22HJ67, 263, 4
2025-08-15_19:33:26, 2m, 144176117, FT8, G4LPP, JO02SS, 223, Rx, G8EEM, IO93MX, 223, -11
2025-08-15_19:33:56, 2m, 144175122, FT8, G4LPP, JO02SS, 223, Rx, G0GXT, IO82RL, 223, -13
2025-08-15_19:32:59, 2m, 144176004, FT8, G4KWQ, IO92AQ09, 223, Rx, G8EEM, IO93MX, 223, -16
2025-08-15_19:33:26, 2m, 144175190, FT8, G4KWQ, IO92AQ09, 223, Rx, G0GXT, IO82RL, 223, 16
2025-08-15_19:29:56, 2m, 144175722, FT8, G4CCC, IO91ML14, 223, Rx, G8SEI, IO92FO, 223, -18
2025-08-15_19:33:56, 2m, 144175173, FT8, G4CCC, IO91ML14, 223, Rx, G0GXT, IO82RL, 223, -4
2025-08-15_19:34:11, 2m, 144175264, FT8, G0GXT, IO82RL, 223, Rx, G7GXK, IO90IS, 223, -15
2025-08-15_19:31:15, 2m, 144174795, FT8, G0KTN, IO81TI, 223, Rx, M0ALA, IO93GO, 223, -21
2025-08-15_19:33:56, 2m, 144175319, FT8, G8DJF, IO91PO, 223, Rx, G0GXT, IO82RL, 223, -12
2025-08-15_19:32:44, 2m, 144174359, FT8, M0BAA, JO01NC, 223, Rx, G6DDN, IO93BS, 223, -24
2025-08-15_19:33:56, 2m, 144175079, FT8, M0BAA, JO01NC, 223, Rx, G0GXT, IO82RL, 223, 5
2025-08-15_19:33:56, 2m, 144175578, FT8, M0MST, IO82XB, 223, Rx, G0GXT, IO82RL, 223, 7
2025-08-15_19:34:26, 2m, 144176495, FT8, M0MST, IO82XB, 223, Rx, G8EEM, IO93MX, 223, -19
2025-08-15_19:33:56, 2m, 144175142, FT8, G0LGS, IO81WV71, 223, Rx, G0GXT, IO82RL, 223, -5
2025-08-15_19:33:56, 2m, 144176059, FT8, G0LGS, IO81WV71, 223, Rx, G8EEM, IO93MX, 223, -18
2025-08-15_19:32:59, 2m, 144176148, FT8, G0JCC, IO82MA21, 223, Rx, G8EEM, IO93MX, 223, -16
2025-08-15_19:33:26, 2m, 144175233, FT8, G0JCC, IO82MA21, 223, Rx, G0GXT, IO82RL, 223, 9
2025-08-15_19:32:41, 2m, 144175869, FT8, G0JDL, JO02SI84, 223, Rx, PC5T, JO22HJ67, 263, -13
2025-08-15_19:32:41, 2m, 144174815, FT8, G0JDL, JO02SI84, 223, Rx, DG1BA, JO43LB43JK, 230, -13
2025-08-15_19:33:26, 2m, 144175148, FT8, G4SWX, JO02RF, 223, Rx, G0GXT, IO82RL, 223, -3
2025-08-15_19:33:29, 2m, 144176061, FT8, G4SWX, JO02RF, 223, Rx, G8EEM, IO93MX, 223, -15
2025-08-15_19:33:57, 2m, 144175137, FT8, G0LRD, JO02AC, 223, Rx, G0GXT, IO82RL, 223, 14
2025-08-15_19:33:57, 2m, 144175295, FT8, G0VLJ, IO80SO, 223, Rx, G0GXT, IO82RL, 223, -21
2025-08-15_19:33:56, 2m, 144175410, FT8, G4KPZ, IO92WK, 223, Rx, G0GXT, IO82RL, 223, 17
2025-08-15_19:31:30, 2m, 144174914, FT8, 2E0HSV, IO92MF, 223, Rx, M0ALA, IO93GO, 223, -17
2025-08-15_19:33:45, 2m, 144175268, FT8, 2E0HSV, IO92MF, 223, Rx, G0GXT, IO82RL, 223, -8
2025-08-15_19:33:59, 2m, 144175075, FT8, G8SEI, IO92FO, 223, Rx, G0GXT, IO82RL, 223, 0
2025-08-15_19:33:56, 2m, 144175469, FT8, G0BIX, JO01GI, 223, Rx, G0GXT, IO82RL, 223, -14
2025-08-15_19:33:56, 2m, 144175206, FT8, G1OJS, IO90JU, 223, Rx, G0GXT, IO82RL, 223, -3
2025-08-15_19:34:11, 2m, 144175367, FT8, G1OJS, IO90JU, 223, Rx, G7GXK, IO90IS, 223, 27
2025-08-15_19:33:58, 2m, 144175248, FT8, G8FJG, JO01CM43, 223, Rx, G0GXT, IO82RL, 223, -14
2025-08-15_19:33:26, 2m, 144174112, FT8, GW4WVO, IO81IL, 294, Rx, G0GXT, IO82RL, 223, -14
2025-08-15_19:33:56, 2m, 144175225, FT8, G6XRK, IO91RN, 223, Rx, G0GXT, IO82RL, 223, 0
